hostName	ScerCount	SparCount	otherAmplifiedITScount	otherGrowthCount	sampleCount	site	species	hostType	latitude.x	longitude.x	latitude.y	longitude.y	elevation	circum	pH	Xannualtemp	tempseasonality	maxtemp	xprec	precdrymonth	precseasonality	
AN1	2	0	9	4	10	PYR	Ficuscarica	fig	40.2504	23.69257	40.25	23.66667	90	NA	NA	154	6907	310	478	15	38	
AN2	0	0	7	2	9	PYR	Vitisvinifera	grape	40.25023	23.69359	40.25	23.66667	85	NA	NA	154	6907	310	478	15	38	
AN3	1	0	5	1	5	PYR	Ficuscarica	fig	40.25023	23.69359	40.25	23.66667	85	NA	NA	154	6907	310	478	15	38	
AN4	0	0	3	7	10	PYR	Ficuscarica	fig	40.25023	23.69359	40.25	23.66667	85	NA	NA	154	6907	310	478	15	38	
BOB	0	0	1	8	10	PAR	Vitisvinifera	grape	38.13974	23.78445	38.125	23.75	378	NA	NA	153	6405	302	542	8	62	
CHO3	0	0	1	0	1	CHO	Quercussp.	oak	53.42394	-2.2700013	53.41667	-2.291667	34	1.14	NA	103	4710	213	894	56	17	
CR1	0	0	3	0	11	CR	Ficuscarica	fig	35.5527	23.777033	35.54167	23.75	21	NA	NA	183	5230	290	616	1	84	
CRO1	0	1	1	0	12	CRO	Quercuspetraea	oak	53.49475	-1.8944034	53.45833	-1.916667	257	2	3.5	82	4677	193	1155	74	17	
CRO10	0	0	0	0	9	CRO	Quercuspetraea	oak	53.494804	-1.8945389	53.45833	-1.916667	287	1.68	3	82	4677	193	1155	74	17	
CRO11	0	0	0	0	9	CRO	Quercuspetraea	oak	53.494633	-1.8944489	53.45833	-1.916667	281	0.85	3	82	4677	193	1155	74	17	
CRO12	0	1	0	0	9	CRO	Quercuspetraea	oak	53.494435	-1.8942233	53.45833	-1.916667	275	1.3	3	82	4677	193	1155	74	17	
CRO13	0	0	0	0	7	CRO	Quercuspetraea	oak	53.494858	-1.894373	53.45833	-1.916667	290	1.37	3.25	82	4677	193	1155	74	17	
CRO14	0	0	0	0	7	CRO	Quercuspetraea	oak	53.495127	-1.8944025	53.45833	-1.916667	300	1.22	3.25	82	4677	193	1155	74	17	
CRO15	0	0	0	0	7	CRO	Quercuspetraea	oak	53.494183	-1.8938471	53.45833	-1.916667	275	1.28	3.25	82	4677	193	1155	74	17	
CRO2	0	3	0	0	10	CRO	Quercuspetraea	oak	53.494066	-1.8936364	53.45833	-1.916667	256	2	3.5	82	4677	193	1155	74	17	
CRO3	0	2	0	1	10	CRO	Quercuspetraea	oak	53.494075	-1.8936062	53.45833	-1.916667	260	1.8	3.5	82	4677	193	1155	74	17	
CRO4	0	1	0	1	8	CRO	Quercuspetraea	oak	53.493364	-1.8931558	53.45833	-1.916667	334	1.44	4	82	4677	193	1155	74	17	
CRO5	0	0	0	1	9	CRO	Quercuspetraea	oak	53.493454	-1.8932611	53.45833	-1.916667	331	1.56	3	82	4677	193	1155	74	17	
CRO6	0	0	2	0	7	CRO	Quercuspetraea	oak	53.493877	-1.8935765	53.45833	-1.916667	325	1.63	3	82	4677	193	1155	74	17	
CRO7	0	1	0	0	9	CRO	Quercuspetraea	oak	53.494372	-1.8942385	53.45833	-1.916667	305	1.3	3	82	4677	193	1155	74	17	
CRO8	0	1	0	1	9	CRO	Quercuspetraea	oak	53.494327	-1.8941783	53.45833	-1.916667	288	1.76	NA	82	4677	193	1155	74	17	
CRO9	0	0	0	0	9	CRO	Quercuspetraea	oak	53.494579	-1.8943887	53.45833	-1.916667	288	1	3	82	4677	193	1155	74	17	
DAV1	1	1	2	0	8	DAV	Quercusrobur	oak	51.022117	0.197617	51	0.1666667	85.3	1.9	4	98	4783	216	714	45	21	
DAV10	0	0	2	1	4	DAV	Vitisvinifera	grape	51.022167	0.197367	51	0.1666667	85.5	NA	5.5	98	4783	216	714	45	21	
DAV11	0	0	2	1	6	DAV	Vitisvinifera	grape	51.022067	0.197333	51	0.1666667	85.5	NA	5.5	98	4783	216	714	45	21	
DAV2	0	0	0	0	4	DAV	Quercusrobur	oak	51.022167	0.197767	51	0.1666667	86.3	3.18	5.5	98	4783	216	714	45	21	
DAV3	0	0	0	0	4	DAV	Quercuspetraea	oak	51.022	0.197417	51	0.1666667	93.3	0.38	4	98	4783	216	714	45	21	
DAV4	0	0	0	0	4	DAV	Quercusrobur	oak	51.021933	0.197433	51	0.1666667	94.8	0.74	3.5	98	4783	216	714	45	21	
DAV5	0	0	0	0	4	DAV	Quercusrobur	oak	51.02195	0.1973	51	0.1666667	88.4	0.44	4.5	98	4783	216	714	45	21	
DAV6	0	0	0	0	4	DAV	Quercusrobur	oak	51.021783	0.19725	51	0.1666667	78.3	0.54	5.5	98	4783	216	714	45	21	
DAV7	0	0	3	0	4	DAV	Vitisvinifera	grape	51.022633	0.1979	51	0.1666667	85.5	NA	5.5	98	4783	216	714	45	21	
DAV8	1	0	0	0	4	DAV	Vitisvinifera	grape	51.02245	0.197433	51	0.1666667	85.5	NA	5.5	98	4783	216	714	45	21	
DAV9	2	0	2	0	4	DAV	Vitisvinifera	grape	51.022283	0.197417	51	0.1666667	85.5	NA	5.5	98	4783	216	714	45	21	
DAVAUX	2	0	0	0	2	DAV	Vitisvinifera	grape	51.02227783	0.197463833	51	0.1666667	85.5	NA	5.5	98	4783	216	714	45	21	
DAVPIN	1	0	2	0	2	DAV	Vitisvinifera	grape	51.02227783	0.197463833	51	0.1666667	85.5	NA	5.5	98	4783	216	714	45	21	
FGX	1	0	0	5	12	PAR	Ficuscarica	fig	38.12495	23.85544	38.08333	23.83333	351	NA	NA	156	6333	302	530	7	63	
