hostName	latitude	longitude	Xannualtemp	xdiurnalrange	isothermality	tempseasonality	maxtemp	mincoldtemp	xtemprange	xtempwetquart	xtempdryquart	xtemphotquart	xtempcoldquart	xprec	precwetmonth	precdrymonth	precseasonality	precwetquart	precdryquart	prechotquart	preccoldquart	
AN1	40.16667	23.66667	155	93	32	6848	310	24	286	86	240	244	69	478	66	15	39	184	61	66	167	
AN2	40.16667	23.66667	155	93	32	6848	310	24	286	86	240	244	69	478	66	15	39	184	61	66	167	
AN3	40.16667	23.66667	155	93	32	6848	310	24	286	86	240	244	69	478	66	15	39	184	61	66	167	
AN4	40.16667	23.66667	155	93	32	6848	310	24	286	86	240	244	69	478	66	15	39	184	61	66	167	
BOB	38	23.66667	165	86	32	6452	315	49	266	104	251	251	88	482	82	7	62	214	27	27	206	
CHO3	53.33333	-2.333333	101	69	35	4686	210	15	195	74	64	164	44	901	90	57	16	268	178	228	227	
CR1	35.5	23.66667	179	63	31	5250	287	84	203	116	247	247	115	629	125	1	85	334	6	6	292	
CRO1	53.33333	-2	82	70	35	4672	193	-3	196	34	129	144	26	1154	128	75	17	361	233	251	335	
CRO10	53.33333	-2	82	70	35	4672	193	-3	196	34	129	144	26	1154	128	75	17	361	233	251	335	
CRO11	53.33333	-2	82	70	35	4672	193	-3	196	34	129	144	26	1154	128	75	17	361	233	251	335	
CRO12	53.33333	-2	82	70	35	4672	193	-3	196	34	129	144	26	1154	128	75	17	361	233	251	335	
