sampleName	Scer	Spar	site	latitude	longitude	SOURCE	CONTEXT	GENOTYPE	GENOTYPE_STUDY
1	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
2	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
3	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
4	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
5	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
6	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
7	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
8	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
9	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
10	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
11	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
12	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
13	0	1	Burtsevo	54.726685	38.345595	leaf	wild	unknown	glushakova_2007
14	0	1	Burtsevo	54.726685	38.345595	leaf	wild	unknown	glushakova_2007
15	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
16	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
17	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
18	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
19	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
20	0	1	LosinyOstrov	54.726685	38.345595	leaf	wild	unknown	glushakova_2007
21	0	1	LosinyOstrov	54.726685	38.345595	leaf	wild	unknown	glushakova_2007
22	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
23	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
24	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
25	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
26	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
27	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
28	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
29	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
